FID,Id,ORIG_FID,full_name,SUM_length,lat,lon
0,0,0,1 ST SE,668.663096325999959,51.049259790199997,-114.060300209999994
1,0,0,1 ST SE,668.663096325999959,51.049252655499998,-114.060300717000004
2,0,0,1 ST SE,668.663096325999959,51.049245520699998,-114.060301224000000
3,0,0,1 ST SE,668.663096325999959,51.049238385999999,-114.060301730999996
4,0,0,1 ST SE,668.663096325999959,51.049231251300000,-114.060302237000002
5,0,0,1 ST SE,668.663096325999959,51.049224116600001,-114.060302743999998
6,0,0,1 ST SE,668.663096325999959,51.049216981800001,-114.060303250999993
7,0,0,1 ST SE,668.663096325999959,51.049209847100002,-114.060303758000003
8,0,0,1 ST SE,668.663096325999959,51.049202712400003,-114.060304264999999
9,0,0,1 ST SE,668.663096325999959,51.049195577600003,-114.060304771999995
10,0,0,1 ST SE,668.663096325999959,51.049188442899997,-114.060305279000005
11,0,0,1 ST SE,668.663096325999959,51.049181308199998,-114.060305784999997
12,0,0,1 ST SE,668.663096325999959,51.049174173499999,-114.060306292000007
13,0,0,1 ST SE,668.663096325999959,51.049167038699998,-114.060306799000003
14,0,0,1 ST SE,668.663096325999959,51.049159904000000,-114.060307305999999
15,0,0,1 ST SE,668.663096325999959,51.049152769300001,-114.060307812999994
16,0,0,1 ST SE,668.663096325999959,51.049145634500000,-114.060308320000004
17,0,0,1 ST SE,668.663096325999959,51.049138499800002,-114.060308825999996
18,0,0,1 ST SE,668.663096325999959,51.049131365100003,-114.060309333000006
19,0,0,1 ST SE,668.663096325999959,51.049124230300002,-114.060309840000002
20,0,0,1 ST SE,668.663096325999959,51.049117095600003,-114.060310346999998
21,0,0,1 ST SE,668.663096325999959,51.049109960899997,-114.060310853999994
22,0,0,1 ST SE,668.663096325999959,51.049102826199999,-114.060311361000004
23,0,0,1 ST SE,668.663096325999959,51.049095691399998,-114.060311866999996
24,0,0,1 ST SE,668.663096325999959,51.049088556699999,-114.060312374000006
25,0,0,1 ST SE,668.663096325999959,51.049081422000000,-114.060312881000002
26,0,0,1 ST SE,668.663096325999959,51.049074287200000,-114.060313387999997
27,0,0,1 ST SE,668.663096325999959,51.049067152500001,-114.060313894999993
28,0,0,1 ST SE,668.663096325999959,51.049060017800002,-114.060314400999999
29,0,0,1 ST SE,668.663096325999959,51.049052883000002,-114.060314907999995
30,0,0,1 ST SE,668.663096325999959,51.049045748300003,-114.060315415000005
31,0,0,1 ST SE,668.663096325999959,51.049038613599997,-114.060315922000001
32,0,0,1 ST SE,668.663096325999959,51.049031478800003,-114.060316428999997
33,0,0,1 ST SE,668.663096325999959,51.049024344099998,-114.060316935000003
34,0,0,1 ST SE,668.663096325999959,51.049017209399999,-114.060317441999999
35,0,0,1 ST SE,668.663096325999959,51.049010074599998,-114.060317948999995
36,0,0,1 ST SE,668.663096325999959,51.049002939899999,-114.060318456000005
37,0,0,1 ST SE,668.663096325999959,51.048995805200001,-114.060318963000000
38,0,0,1 ST SE,668.663096325999959,51.048988670400000,-114.060319469000007
39,0,0,1 ST SE,668.663096325999959,51.048981535700001,-114.060319976000002
40,0,0,1 ST SE,668.663096325999959,51.048974401000002,-114.060320482999998
41,0,0,1 ST SE,668.663096325999959,51.048967266200002,-114.060320989999994
42,0,0,1 ST SE,668.663096325999959,51.048960131500003,-114.060321497000004
43,0,0,1 ST SE,668.663096325999959,51.048952996799997,-114.060322002999996
44,0,0,1 ST SE,668.663096325999959,51.048945861999997,-114.060322510000006
45,0,0,1 ST SE,668.663096325999959,51.048938727299998,-114.060323017000002
46,0,0,1 ST SE,668.663096325999959,51.048931592599999,-114.060323523999998
47,0,0,1 ST SE,668.663096325999959,51.048924457799998,-114.060324030999993
48,0,0,1 ST SE,668.663096325999959,51.048917323100000,-114.060324538000003
49,0,0,1 ST SE,668.663096325999959,51.048910188400001,-114.060325044999999
50,0,0,1 ST SE,668.663096325999959,51.048903053700002,-114.060325551000005
51,0,0,1 ST SE,668.663096325999959,51.048895918900001,-114.060326058000001
52,0,0,1 ST SE,668.663096325999959,51.048888784200003,-114.060326564999997
