FID,JOIN_FID,FREQUENCY,SUM_resist,FIRST_shape_area
-1,0,5,231.9509905,190.5087182
-1,1,3,139.1705943,183.5668941
-1,2,43,1994.778518,2112.167036
-1,3,8,371.1215848,411.3998407
-1,4,8,371.1215848,346.6782465
-1,5,2,92.7803962,67.90673472
-1,6,8,371.1215848,399.1960907
-1,7,46,2133.949113,2164.417409
-1,8,1,46.3901981,62.52038119
-1,9,70,3247.313867,3284.466606
-1,10,2,92.7803962,94.33531305
-1,11,504,23380.65984,22113.03755
-1,12,385,17860.22627,16626.6461
-1,13,140,6494.627734,6413.921722
-1,14,518,24030.12262,23584.50228
-1,15,107,4963.751197,4998.376327
-1,16,127,5891.555159,5951.469953
-1,17,2,92.7803962,87.85350877
-1,18,253,11736.72012,11959.97014
-1,19,401,18602.46944,17662.71767
-1,20,116,5381.26298,5388.438275
-1,21,236,10948.08675,11090.92101
-1,22,127,5891.555159,6026.20345
-1,23,13,603.0725753,535.0546519
-1,24,110,5102.921791,5152.929834
-1,25,264,12247.0123,12314.10156
-1,26,70,3247.313867,3230.792374
-1,27,240,11133.64754,11156.22731
-1,28,1,46.3901981,65.35288893
-1,29,38,1762.827528,1753.517066
-1,30,287,13313.98685,13174.26443
-1,31,2,92.7803962,134.221817
-1,32,160,7422.431696,7161.947066
-1,33,1,46.3901981,85.95252515
-1,34,3,139.1705943,154.2617268
-1,35,120,5566.823772,5627.274644
-1,36,96,4453.459018,4466.302934
-1,37,6,278.3411886,307.5493946
-1,38,130,6030.725753,6054.631662
-1,39,298,13824.27903,13923.26804
-1,40,131,6077.115951,6036.888442
-1,41,282,13082.03586,12885.95315
-1,42,8,371.1215848,425.7235151
-1,43,83,3850.386442,3873.115977
-1,44,1,46.3901981,29.95647153
-1,45,9,417.5117829,388.6242818
-1,46,21,974.1941601,945.8579101
-1,47,95,4407.06882,4588.174207
-1,48,155,7190.480706,7204.132052
-1,49,555,25746.55995,25678.73544
-1,50,3,139.1705943,182.3848251
-1,51,4,185.5607924,220.7310056
-1,52,12,556.6823772,578.790189
-1,53,35,1623.656934,1585.744778
-1,54,275,12757.30448,12551.75553
-1,55,1,46.3901981,63.79347015
-1,56,2,92.7803962,65.89726701
-1,57,1,46.3901981,63.17982409
-1,58,215,9973.892592,10054.14298
-1,59,41,1901.998122,2008.415524
-1,60,142,6587.40813,6300.718037
-1,61,51,2365.900103,2305.032526
-1,62,282,13082.03586,13075.79101
-1,63,3,139.1705943,194.3463619
-1,64,95,4407.06882,4356.37698
-1,65,227,10530.57497,10757.03265
-1,66,108,5010.141395,5125.463401
-1,67,5,231.9509905,214.5648478
-1,68,3,139.1705943,171.5595952
-1,69,3,139.1705943,138.3758686
-1,70,8,371.1215848,329.4192628
-1,71,8,371.1215848,354.3120127
-1,72,17,788.6333677,590.9698323
-1,74,103,4778.190404,4943.817667
-1,75,46,2133.949113,2110.607132
-1,76,15,695.8529715,757.0879644
-1,77,92,4267.898225,4259.657406
-1,78,23,1066.974556,1057.127552
-1,79,225,10437.79457,10484.59525
-1,80,104,4824.580602,4708.88687
-1,82,5,231.9509905,177.8203367
-1,83,95,4407.06882,4429.555163
-1,84,80,3711.215848,3853.716836
-1,85,142,6587.40813,6672.148436
-1,86,4,185.5607924,243.4878583
-1,87,64,2968.972678,3297.829464
-1,88,45,2087.558915,2028.528615
-1,89,29,1345.315745,1387.110761
-1,90,242,11226.42794,11228.71343
-1,91,105,4870.970801,4832.535162
-1,92,249,11551.15933,11727.39228
-1,93,44,2041.168716,2110.50013
-1,94,15,695.8529715,625.3715681
-1,95,246,11411.98873,11567.74317
-1,96,2,92.7803962,102.8526275
-1,97,227,10530.57497,10380.6194
-1,98,259,12015.06131,12237.81498
-1,99,2,92.7803962,103.0638547
-1,100,5,231.9509905,307.5678694
-1,101,6,278.3411886,343.1945494
-1,102,2,92.7803962,165.923416
-1,103,233,10808.91616,11090.4338
-1,104,3,139.1705943,171.0257112
-1,105,2,92.7803962,92.86824076
-1,106,2,92.7803962,108.236097
-1,107,197,9138.869026,8994.513371
-1,108,39,1809.217726,1840.239553
-1,109,19,881.4137639,780.1688246
-1,110,2,92.7803962,91.60459232
-1,111,17,788.6333677,778.2702552
-1,112,12,556.6823772,552.175242
-1,113,3,139.1705943,97.8723558
-1,114,2,92.7803962,131.9100257
-1,115,4,185.5607924,235.7290935
-1,116,5,231.9509905,205.5659823
-1,117,120,5566.823772,5718.11789
-1,118,166,7700.772885,7717.047366
-1,119,121,5613.21397,5746.014825
-1,120,230,10669.74556,10982.56891
-1,121,112,5195.702187,5196.338355
-1,122,218,10113.06319,9963.319309
-1,123,1,46.3901981,96.05382668
-1,124,267,12386.18289,12438.58243
-1,125,30,1391.705943,1404.184846
-1,126,28,1298.925547,1220.814678
-1,127,10,463.901981,434.4728525
-1,128,36,1670.047132,1607.748918
-1,129,132,6123.506149,6281.933115
-1,130,8,371.1215848,365.7085593
-1,131,121,5613.21397,5600.004498
-1,132,296,13731.49864,13779.71819
-1,133,70,3247.313867,3338.313332
-1,134,115,5334.872782,5296.739693
-1,135,52,2412.290301,2313.715513
-1,136,42,1948.38832,1920.431386
-1,137,4,185.5607924,200.2088568
-1,138,231,10716.13576,10737.19418
-1,139,72,3340.094263,3316.981271
-1,140,28,1298.925547,1386.123442
-1,141,255,11829.50052,11953.80401
-1,143,267,12386.18289,12256.70588
-1,144,88,4082.337433,4150.774339
-1,145,132,6123.506149,6276.152081
-1,146,26,1206.145151,1174.31112
-1,149,136,6309.066942,6253.201938
-1,150,129,5984.335555,5905.131073
-1,151,1,46.3901981,64.01986237
-1,152,10,463.901981,418.5976057
-1,153,3,139.1705943,125.9236755
-1,154,130,6030.725753,5917.669301
-1,155,2,92.7803962,80.5962768
-1,156,203,9417.210214,9462.895562
-1,157,5,231.9509905,240.6953238
-1,158,2,92.7803962,123.4797337
-1,159,1,46.3901981,53.70989104
-1,160,1,46.3901981,64.63934442
-1,161,3,139.1705943,142.253703
-1,162,46,2133.949113,2148.535579
-1,163,2,92.7803962,66.24367049
-1,164,38,1762.827528,1775.087537
-1,165,144,6680.188526,6677.220667
-1,166,10,463.901981,554.2809608
-1,167,58,2690.63149,2602.791518
-1,168,2,92.7803962,78.0693953
-1,169,127,5891.555159,5985.771325
-1,170,267,12386.18289,12482.82175
-1,171,132,6123.506149,6174.79432
-1,172,10,463.901981,439.7660059
-1,173,291,13499.54765,13418.27841
-1,174,1,46.3901981,63.43488073
-1,175,174,8071.894469,8068.930295
-1,176,290,13453.15745,13727.45797
-1,177,134,6216.286545,6329.006983
-1,178,99,4592.629612,4702.916228
-1,179,29,1345.315745,1453.727364
-1,180,386,17906.61647,18454.91472
-1,182,180,8350.235658,8942.741109
-1,183,16,742.2431696,986.6628023
-1,184,19,881.4137639,780.3934381
-1,185,3,139.1705943,147.5333203
-1,186,196,9092.478828,9063.632241
-1,187,221,10252.23378,10123.92893
-1,188,85,3943.166839,3791.477941
