FID,Id,ORIG_FID,full_name,SUM_length,lat,lon
0,0,0,1 ST SE,668.663096325999959,51.049259790199997,-114.060300209999994
1,0,0,1 ST SE,668.663096325999959,51.049238385999999,-114.060301730999996
2,0,0,1 ST SE,668.663096325999959,51.049216981800001,-114.060303250999993
3,0,0,1 ST SE,668.663096325999959,51.049195577600003,-114.060304771999995
4,0,0,1 ST SE,668.663096325999959,51.049174173499999,-114.060306292000007
5,0,0,1 ST SE,668.663096325999959,51.049152769300001,-114.060307812999994
6,0,0,1 ST SE,668.663096325999959,51.049131365100003,-114.060309333000006
7,0,0,1 ST SE,668.663096325999959,51.049109960899997,-114.060310853999994
8,0,0,1 ST SE,668.663096325999959,51.049088556699999,-114.060312374000006
9,0,0,1 ST SE,668.663096325999959,51.049067152500001,-114.060313894999993
10,0,0,1 ST SE,668.663096325999959,51.049045748300003,-114.060315415000005
11,0,0,1 ST SE,668.663096325999959,51.049024344099998,-114.060316935000003
12,0,0,1 ST SE,668.663096325999959,51.049002939899999,-114.060318456000005
13,0,0,1 ST SE,668.663096325999959,51.048981535700001,-114.060319976000002
14,0,0,1 ST SE,668.663096325999959,51.048960131500003,-114.060321497000004
15,0,0,1 ST SE,668.663096325999959,51.048938727299998,-114.060323017000002
16,0,0,1 ST SE,668.663096325999959,51.048917323100000,-114.060324538000003
17,0,0,1 ST SE,668.663096325999959,51.048895918900001,-114.060326058000001
18,0,0,1 ST SE,668.663096325999959,51.048874514700003,-114.060327579000003
19,0,0,1 ST SE,668.663096325999959,51.048853110600000,-114.060329099000000
20,0,0,1 ST SE,668.663096325999959,51.048831706400001,-114.060330620000002
21,0,0,1 ST SE,668.663096325999959,51.048810302200003,-114.060332140000000
22,0,0,1 ST SE,668.663096325999959,51.048788897999998,-114.060333661000001
23,0,0,1 ST SE,668.663096325999959,51.048767493800000,-114.060335180999999
24,0,0,1 ST SE,668.663096325999959,51.048746089500000,-114.060336700999997
25,0,0,1 ST SE,668.663096325999959,51.048724685300002,-114.060338220999995
26,0,0,1 ST SE,668.663096325999959,51.048703281100003,-114.060339741999996
27,0,0,1 ST SE,668.663096325999959,51.048681876899998,-114.060341261999994
28,0,0,1 ST SE,668.663096325999959,51.048660472700000,-114.060342782000006
29,0,0,1 ST SE,668.663096325999959,51.048639068500002,-114.060344302999994
30,0,0,1 ST SE,668.663096325999959,51.048617664299996,-114.060345823000006
31,0,0,1 ST SE,668.663096325999959,51.048596260099998,-114.060347343999993
32,0,0,1 ST SE,668.663096325999959,51.048574855900000,-114.060348864000005
33,0,0,1 ST SE,668.663096325999959,51.048553451700002,-114.060350385000007
34,0,0,1 ST SE,668.663096325999959,51.048532047499997,-114.060351905000005
35,0,0,1 ST SE,668.663096325999959,51.048510643400000,-114.060353425000002
36,0,0,1 ST SE,668.663096325999959,51.048489239200002,-114.060354946000004
37,0,0,1 ST SE,668.663096325999959,51.048467834999997,-114.060356466000002
38,0,0,1 ST SE,668.663096325999959,51.048446430799999,-114.060357987000003
39,0,0,1 ST SE,668.663096325999959,51.048425026600000,-114.060359507000001
40,0,0,1 ST SE,668.663096325999959,51.048403622400002,-114.060361028000003
41,0,0,1 ST SE,668.663096325999959,51.048382218199997,-114.060362548000001
42,0,0,1 ST SE,668.663096325999959,51.048360813999999,-114.060364069000002
43,0,0,1 ST SE,668.663096325999959,51.048339409800001,-114.060365589000000
44,0,0,1 ST SE,668.663096325999959,51.048318005600002,-114.060367110000001
45,0,0,1 ST SE,668.663096325999959,51.048296602000001,-114.060368639000004
46,0,0,1 ST SE,668.663096325999959,51.048275198399999,-114.060370168000006
47,0,0,1 ST SE,668.663096325999959,51.048253794799997,-114.060371696000004
48,0,0,1 ST SE,668.663096325999959,51.048232391200003,-114.060373225000006
49,0,0,1 ST SE,668.663096325999959,51.048210987600001,-114.060374753999994
50,0,0,1 ST SE,668.663096325999959,51.048189583999999,-114.060376282999997
51,0,0,1 ST SE,668.663096325999959,51.048168180399998,-114.060377811999999
52,0,0,1 ST SE,668.663096325999959,51.048146776800003,-114.060379339999997
53,0,0,1 ST SE,668.663096325999959,51.048125373200001,-114.060380868999999
54,0,0,1 ST SE,668.663096325999959,51.048103969600000,-114.060382398000002
55,0,0,1 ST SE,668.663096325999959,51.048082565999998,-114.060383927000004
56,0,0,1 ST SE,668.663096325999959,51.048061162400003,-114.060385456000006
57,0,0,1 ST SE,668.663096325999959,51.048039758800002,-114.060386984000004
58,0,0,1 ST SE,668.663096325999959,51.048018355200000,-114.060388513000007
59,0,0,1 ST SE,668.663096325999959,51.047996951599998,-114.060390041999995
60,0,0,1 ST SE,668.663096325999959,51.047975548099998,-114.060391570999997
61,0,0,1 ST SE,668.663096325999959,51.047954144499997,-114.060393099999999
62,0,0,1 ST SE,668.663096325999959,51.047932740900002,-114.060394629000001
