FID,JOIN_FID,FREQUENCY,SUM_resist,FIRST_shape_area
-1,0,17,197.1583417,190.5087182
-1,1,17,197.1583417,183.5668941
-1,2,182,2110.754011,2112.167036
-1,3,34,394.3166834,411.3998407
-1,4,30,347.9264854,346.6782465
-1,5,5,57.98774756,67.90673472
-1,6,32,371.1215844,399.1960907
-1,7,188,2180.339308,2164.417409
-1,8,5,57.98774756,62.52038119
-1,9,281,3258.911413,3284.466606
-1,10,9,104.3779456,94.33531305
-1,11,1952,22638.41665,22113.03755
-1,12,1476,17117.98308,16626.6461
-1,13,548,6355.457133,6413.921722
-1,14,2032,23566.22061,23584.50228
-1,15,429,4975.348741,4998.376327
-1,16,510,5914.750252,5951.469953
-1,17,7,81.18284659,87.85350877
-1,18,1028,11922.2809,11959.97014
-1,19,1530,17744.25075,17662.71767
-1,20,456,5288.482578,5388.438275
-1,21,953,11052.46469,11090.92101
-1,22,514,5961.14045,6026.20345
-1,23,43,498.6946291,535.0546519
-1,24,446,5172.507083,5152.929834
-1,25,1054,12223.81719,12314.10156
-1,26,277,3212.521215,3230.792374
-1,27,960,11133.64753,11156.22731
-1,28,5,57.98774756,65.35288893
-1,29,150,1739.632427,1753.517066
-1,30,1133,13140.0236,13174.26443
-1,31,11,127.5730446,134.221817
-1,32,614,7120.895401,7161.947066
-1,33,6,69.58529708,85.95252515
-1,34,11,127.5730446,154.2617268
-1,35,477,5532.031118,5627.274644
-1,36,384,4453.459013,4466.302934
-1,37,27,313.1338368,307.5493946
-1,38,522,6053.920846,6054.631662
-1,39,1198,13893.86432,13923.26804
-1,40,521,6042.323296,6036.888442
-1,41,1107,12838.48731,12885.95315
-1,42,39,452.304431,425.7235151
-1,43,332,3850.386438,3873.115977
-1,44,3,34.79264854,29.95647153
-1,45,33,382.7191339,388.6242818
-1,46,82,950.9990601,945.8579101
-1,47,390,4523.04431,4588.174207
-1,48,617,7155.688049,7204.132052
-1,49,2213,25665.37707,25678.73544
-1,50,11,127.5730446,182.3848251
-1,51,19,220.3534407,220.7310056
-1,52,50,579.8774756,578.790189
-1,53,136,1577.266734,1585.744778
-1,54,1079,12513.75592,12551.75553
-1,55,4,46.39019805,63.79347015
-1,56,5,57.98774756,65.89726701
-1,57,5,57.98774756,63.17982409
-1,58,858,9950.697482,10054.14298
-1,59,171,1983.180967,2008.415524
-1,60,542,6285.871836,6300.718037
-1,61,201,2331.107452,2305.032526
-1,62,1130,13105.23095,13075.79101
-1,63,16,185.5607922,194.3463619
-1,64,376,4360.678617,4356.37698
-1,65,919,10658.148,10757.03265
-1,66,446,5172.507083,5125.463401
-1,67,17,197.1583417,214.5648478
-1,68,15,173.9632427,171.5595952
-1,69,10,115.9754951,138.3758686
-1,70,26,301.5362873,329.4192628
-1,71,28,324.7313864,354.3120127
-1,72,53,614.6701242,590.9698323
-1,73,5,57.98774756,52.35920456
-1,74,424,4917.360993,4943.817667
-1,75,183,2122.351561,2110.607132
-1,76,65,753.8407183,757.0879644
-1,77,365,4233.105572,4259.657406
-1,78,95,1101.767204,1057.127552
-1,79,897,10403.00191,10484.59525
-1,80,405,4697.007553,4708.88687
-1,82,17,197.1583417,177.8203367
-1,83,383,4441.861463,4429.555163
-1,84,330,3827.191339,3853.716836
-1,85,572,6633.798321,6672.148436
-1,86,21,243.5485398,243.4878583
-1,87,288,3340.09426,3297.829464
-1,88,173,2006.376066,2028.528615
-1,89,115,1333.718194,1387.110761
-1,90,962,11156.84263,11228.71343
-1,91,414,4801.385498,4832.535162
-1,92,1009,11701.92746,11727.39228
-1,93,185,2145.54666,2110.50013
-1,94,57,661.0603222,625.3715681
-1,95,992,11504.76912,11567.74317
-1,96,9,104.3779456,102.8526275
-1,97,892,10345.01417,10380.6194
-1,98,1049,12165.82944,12237.81498
-1,99,9,104.3779456,103.0638547
-1,100,26,301.5362873,307.5678694
-1,101,30,347.9264854,343.1945494
-1,102,14,162.3656932,165.923416
-1,103,949,11006.07449,11090.4338
-1,104,14,162.3656932,171.0257112
-1,105,8,92.7803961,92.86824076
-1,106,7,81.18284659,108.236097
-1,107,780,9046.08862,8994.513371
-1,108,162,1878.803021,1840.239553
-1,109,66,765.4382678,780.1688246
-1,110,7,81.18284659,91.60459232
-1,111,69,800.2309164,778.2702552
-1,112,45,521.8897281,552.175242
-1,113,9,104.3779456,97.8723558
-1,114,13,150.7681437,131.9100257
-1,115,19,220.3534407,235.7290935
-1,116,17,197.1583417,205.5659823
-1,117,493,5717.59191,5718.11789
-1,118,661,7665.980228,7717.047366
-1,119,490,5682.799261,5746.014825
-1,120,939,10890.09899,10982.56891
-1,121,442,5126.116885,5196.338355
-1,122,849,9846.319536,9963.319309
-1,123,8,92.7803961,96.05382668
-1,124,1070,12409.37798,12438.58243
-1,125,118,1368.510843,1404.184846
-1,126,106,1229.340248,1220.814678
-1,127,38,440.7068815,434.4728525
-1,128,140,1623.656932,1607.748918
-1,129,537,6227.884088,6281.933115
-1,130,29,336.3289359,365.7085593
-1,131,483,5601.616415,5600.004498
-1,132,1189,13789.48637,13779.71819
