FID,JOIN_FID,FREQUENCY,SUM_resist,FIRST_shape_area
-1,0,1,186.236269521999986,190.508718238999990
-1,2,12,2234.833997659000033,2112.167036389999794
-1,3,2,372.472346730000027,411.399840706000020
-1,4,1,186.236177545999993,346.678246523999974
-1,6,2,372.472361512000020,399.196090672000025
-1,7,12,2234.834197585000311,2164.417408620000060
-1,9,18,3352.251390352000271,3284.466606030000094
-1,11,146,27190.475106855999911,22113.037554999998974
-1,12,110,20485.973644938996586,16626.646095500000229
-1,13,36,6704.501156119002189,6413.921721800000341
-1,14,129,24024.463254650003364,23584.502278399999341
-1,15,26,4842.140109790999304,4998.376326599999629
-1,16,33,6145.793094048997773,5951.469953200000418
-1,17,1,186.236166634000000,87.853508771500003
-1,18,64,11919.117890027004250,11959.970137599999362
-1,19,101,18809.857599294995453,17662.717666900000040
-1,20,30,5587.085143296000751,5388.438274670000283
-1,21,60,11174.169831232997240,11090.921014999999898
-1,22,34,6332.029942376999315,6026.203449839999848
-1,23,4,744.944711282000071,535.054651913000043
-1,24,30,5587.085306048000348,5152.929833719999806
-1,25,66,12291.587179912998181,12314.101559299999280
-1,26,19,3538.487419033999231,3230.792373899999802
-1,27,60,11174.170382054995571,11156.227306700000554
-1,29,10,1862.361863840000069,1753.517066370000066
-1,30,72,13409.004758764001963,13174.264426300000196
-1,32,39,7263.211222502000965,7161.947065999999722
-1,34,1,186.236239221000005,154.261726822000014
-1,35,31,5773.321999247000349,5627.274644109999826
-1,36,26,4842.141102403999867,4466.302933799999664
-1,37,1,186.236248346999986,307.549394622000023
-1,38,36,6704.503126474999590,6054.631661919999715
-1,39,76,14153.951468702996863,13923.268038700000034
-1,40,34,6332.031318159000875,6036.888442229999782
-1,41,73,13595.243307230994105,12885.953149000000849
-1,42,2,372.472434017000012,425.723515093999993
-1,43,22,4097.196830922999652,3873.115976579999824
-1,45,2,372.472477828000024,388.624281811000003
-1,46,2,372.472481819999985,945.857910081999989
-1,47,25,4655.905911099001059,4588.174207080000087
-1,48,39,7263.212936511999033,7204.132052390000354
-1,49,138,25700.598520298000949,25678.735439200001565
-1,50,1,186.236247017000011,182.384825140999993
-1,51,1,186.236247655000000,220.731005578999998
-1,52,3,558.708765501000016,578.790188996999973
-1,53,8,1489.890022261999775,1585.744777679999970
-1,54,71,13222.773300676000872,12551.755525500000658
-1,58,56,10429.229598375002752,10054.142978100000619
-1,59,11,2048.598798183000326,2008.415523639999947
-1,60,36,6704.505133871000908,6300.718036850000317
-1,61,12,2234.835079513999972,2305.032525529999930
-1,62,73,13595.246231508002893,13075.791009299999132
-1,63,1,186.236263724999986,194.346361868999992
-1,64,22,4097.197728958999505,4356.376980320000257
-1,65,58,10801.702625041003557,10757.032646199999363
-1,66,28,5214.615138266000031,5125.463401150000209
-1,68,1,186.236268899999999,171.559595174999998
-1,70,2,372.472538371000041,329.419262789000015
-1,71,3,558.708801489000052,354.312012657000025
-1,72,4,744.945065211999918,590.969832308000036
-1,74,25,4655.906506813999840,4943.817666979999558
-1,75,11,2048.598963733000346,2110.607132099999944
-1,76,5,931.181367275000071,757.087964396999951
-1,77,24,4469.670520652000050,4259.657405629999630
-1,78,5,931.181359542000109,1057.127551829999902
-1,79,62,11546.648532277997219,10484.595251900000221
-1,80,26,4842.143192278998868,4708.886869879999722
-1,82,1,186.236281765999991,177.820336650000002
-1,83,22,4097.199517927000670,4429.555162620000374
-1,84,19,3538.489419573999839,3853.716836070000227
-1,85,35,6518.270202749999044,6672.148435690000042
-1,86,1,186.236299161999995,243.487858299000010
-1,87,13,2421.071566062999864,3297.829464209999969
-1,88,12,2234.835519853999813,2028.528614800000014
-1,89,8,1489.890379951000114,1387.110761019999927
-1,90,59,10987.941102608998335,11228.713425399999323
-1,91,26,4842.143823503000021,4832.535161900000276
-1,92,64,11919.122773928997049,11727.392282000000705
-1,93,11,2048.599242684999808,2110.500129540000216
-1,94,4,744.945233737000081,625.371568120000006
-1,95,64,11919.123030791999554,11567.743165600000793
-1,97,55,10242.997930884999732,10380.619395199999417
-1,98,66,12291.595783435996054,12237.814975100000083
-1,99,1,186.236317777000011,103.063854651000000
-1,100,1,186.236315859000001,307.567869375999976
-1,101,2,372.472628138999994,343.194549371999983
-1,103,58,10801.705671490002715,11090.433802800000194
-1,107,53,9870.524325025999133,8994.513371090000874
-1,108,9,1676.126854161999972,1840.239552589999903
-1,109,5,931.181584254999962,780.168824595000046
-1,111,5,931.181580972000006,778.270255170000041
-1,112,4,744.945289784999886,552.175241980000010
-1,114,1,186.236323558000009,131.910025735999994
-1,115,2,372.472656174999997,235.729093527999993
-1,116,1,186.236367319000010,205.565982310000010
-1,117,27,5028.380964553000013,5718.117890079999597
-1,118,42,7821.926040832001490,7717.047365929999614
-1,119,30,5587.090152456999022,5746.014824529999714
-1,120,59,10987.943701088001035,10982.568908799999917
-1,121,27,5028.381095503000324,5196.338354929999696
-1,122,53,9870.525950007995561,9963.319308849999288
-1,124,70,13036.543923273997279,12438.582432600000175
-1,125,8,1489.890854719000117,1404.184845920000043
-1,126,7,1303.654585429999770,1220.814678259999937
-1,127,2,372.472743616000002,434.472852507000027
-1,128,10,1862.363728506000143,1607.748918120000098
-1,129,35,6518.273061806999976,6281.933114579999710
-1,130,2,372.472755204999999,365.708559316999981
-1,131,31,5773.327669087999311,5600.004498160000367
-1,132,74,13781.489454247004687,13779.718193200000314
