FID,Id,ORIG_FID,full_name,SUM_length,lat,lon
0,0,0,1 ST SE,668.663096325999959,51.049259790199997,-114.060300209999994
1,0,0,1 ST SE,668.663096325999959,51.049074287200000,-114.060313387999997
2,0,0,1 ST SE,668.663096325999959,51.048888784200003,-114.060326564999997
3,0,0,1 ST SE,668.663096325999959,51.048703281100003,-114.060339741999996
4,0,0,1 ST SE,668.663096325999959,51.048517778099999,-114.060352918999996
5,0,0,1 ST SE,668.663096325999959,51.048332275100002,-114.060366095999996
6,0,0,1 ST SE,668.663096325999959,51.048146776800003,-114.060379339999997
7,0,0,1 ST SE,668.663096325999959,51.047961278999999,-114.060392590000006
8,0,0,1 ST SE,668.663096325999959,51.047775781100000,-114.060405840000001
9,0,0,1 ST SE,668.663096325999959,51.047590283200002,-114.060419089000007
10,0,0,1 ST SE,668.663096325999959,51.047404785300003,-114.060432337999998
11,0,0,1 ST SE,668.663096325999959,51.047219287399997,-114.060445587000004
12,0,0,1 ST SE,668.663096325999959,51.047033789499999,-114.060458835999995
13,0,0,1 ST SE,668.663096325999959,51.046848289700002,-114.060472058000002
14,0,0,1 ST SE,668.663096325999959,51.046662784200002,-114.060485201000006
15,0,0,1 ST SE,668.663096325999959,51.046477278700003,-114.060498343000006
16,0,0,1 ST SE,668.663096325999959,51.046291785299999,-114.060511652000002
17,0,0,1 ST SE,668.663096325999959,51.046106272099998,-114.060524685000004
18,0,0,1 ST SE,668.663096325999959,51.045920762100003,-114.060537762999999
19,0,0,1 ST SE,668.663096325999959,51.045735272000002,-114.060551121000003
20,0,0,1 ST SE,668.663096325999959,51.045549781900000,-114.060564479000007
21,0,0,1 ST SE,668.663096325999959,51.045364291799999,-114.060577836999997
22,0,0,1 ST SE,668.663096325999959,51.045178801900001,-114.060591196999994
23,0,0,1 ST SE,668.663096325999959,51.044993311600003,-114.060604552000001
24,0,0,1 ST SE,668.663096325999959,51.044807814000002,-114.060617805999996
25,0,0,1 ST SE,668.663096325999959,51.044622316500003,-114.060631060999995
26,0,0,1 ST SE,668.663096325999959,51.044436818599998,-114.060644310000001
27,0,0,1 ST SE,668.663096325999959,51.044251320599997,-114.060657558000003
28,0,0,1 ST SE,668.663096325999959,51.044065822599997,-114.060670805000001
29,0,0,1 ST SE,668.663096325999959,51.043880324600003,-114.060684053000003
30,0,0,1 ST SE,668.663096325999959,51.043694826500001,-114.060697300000001
31,0,0,1 ST SE,668.663096325999959,51.043509328500001,-114.060710546999999
32,0,0,1 ST SE,668.663096325999959,51.043323830399999,-114.060723793999998
33,0,0,1 ST SE,668.663096325999959,51.043255362200000,-114.060728683999997
34,0,1,10 ST SW,43.747278870400002,51.050222663699998,-114.083777689000001
35,0,1,10 ST SW,43.747278870400002,51.050041801600003,-114.083793130000004
36,0,1,10 ST SW,43.747278870400002,51.049960614900002,-114.083957151999996
37,0,1,10 ST SW,43.747278870400002,51.049925606899997,-114.084063967000006
38,0,2,10 ST SW,253.365735376999993,51.051721282300001,-114.085623544000001
39,0,2,10 ST SW,253.365735376999993,51.051605098499998,-114.085478332999998
40,0,2,10 ST SW,253.365735376999993,51.051488914200000,-114.085333121999994
41,0,2,10 ST SW,253.365735376999993,51.051372729800001,-114.085187911000006
42,0,2,10 ST SW,253.365735376999993,51.051255179199998,-114.085043804999998
43,0,2,10 ST SW,253.365735376999993,51.051137540200003,-114.084899770000007
44,0,2,10 ST SW,253.365735376999993,51.051019901200000,-114.084755735000002
45,0,2,10 ST SW,253.365735376999993,51.050902260999997,-114.084611701000000
46,0,2,10 ST SW,253.365735376999993,51.050784620500004,-114.084467666999998
47,0,2,10 ST SW,253.365735376999993,51.050666980000003,-114.084323632999997
48,0,2,10 ST SW,253.365735376999993,51.050549506999999,-114.084179462999998
49,0,2,10 ST SW,253.365735376999993,51.050432149099997,-114.084035198999999
50,0,2,10 ST SW,253.365735376999993,51.050314790100003,-114.083890934999999
51,0,2,10 ST SW,253.365735376999993,51.050197757600003,-114.083746409000000
52,0,2,10 ST SW,253.365735376999993,51.050078667800001,-114.083603584000002
53,0,2,10 ST SW,253.365735376999993,51.049933898399999,-114.083488504000002
54,0,2,10 ST SW,253.365735376999993,51.049898638000002,-114.083472860000001
55,0,3,11 ST SW,71.657577225500006,51.048172542200000,-114.088506738000007
56,0,3,11 ST SW,71.657577225500006,51.048329443400000,-114.088415912000002
57,0,3,11 ST SW,71.657577225500006,51.048514789000002,-114.088401344000005
58,0,3,11 ST SW,71.657577225500006,51.048689516800003,-114.088346917999999
59,0,3,11 ST SW,71.657577225500006,51.048781744800003,-114.088253964000003
60,0,4,14 ST SW,518.955789063999987,51.044207079700001,-114.094636268000002
61,0,4,14 ST SW,518.955789063999987,51.044393047100002,-114.094637332999994
62,0,4,14 ST SW,518.955789063999987,51.044579014500002,-114.094638398000001
63,0,4,14 ST SW,518.955789063999987,51.044764981900002,-114.094639462999993
64,0,4,14 ST SW,518.955789063999987,51.044950949300002,-114.094640529000003
65,0,4,14 ST SW,518.955789063999987,51.045136916700002,-114.094641597999995
66,0,4,14 ST SW,518.955789063999987,51.045322884100003,-114.094642671000003
67,0,4,14 ST SW,518.955789063999987,51.045508851400001,-114.094643743000006
68,0,4,14 ST SW,518.955789063999987,51.045694818800001,-114.094644814999995
69,0,4,14 ST SW,518.955789063999987,51.045880698900000,-114.094649430999993
70,0,4,14 ST SW,518.955789063999987,51.046066562299998,-114.094655653000004
71,0,4,14 ST SW,518.955789063999987,51.046252337699997,-114.094664038999994
