Orig_FID,Class,Quadrant,District,Orig_area,Gridtype,Resolution,Area,DiffArea,Percent
441,Stream/Rivers,NE,707C,1.401903932,ISEA4H,18,12664.08435,12662.68245,903248.9432
920,Manicured,NE,707H,1.919257698,ISEA4H,18,2234.835742,2232.916484,116342.7135
426,Roads/Raillines,NE,707A,2.801269872,ISEA4H,18,744.946207,742.1449371,26493.161
1097,Stream/Rivers,NE,707D,3.639238408,ISEA4H,18,2234.836169,2231.196931,61309.44667
663,Roads/Raillines,NW,801B,4.099394157,ISEA4H,18,744.9457383,740.8463442,18072.09348
440,Stream/Rivers,NE,707A,4.79619289,ISEA4H,18,4469.676958,4464.880765,93092.18514
741,Building/Paved,NE,707D,5.792960093,ISEA4H,18,1489.890471,1484.097511,25618.98386
1106,Stream/Rivers,NE,707H,6.060426152,ISEA4H,18,4469.671449,4463.611023,73651.76823
962,Roads/Raillines,NE,707H,6.565957798,ISEA4H,18,744.9443972,738.3784394,11245.55567
81,Building/Paved,NE,801D,6.768842032,ISEA4H,18,3724.725412,3717.956569,54927.51273
447,Stream/Rivers,NE,707A,7.911404812,ISEA4H,18,1489.891966,1481.980561,18732.20491
1096,Stream/Rivers,NE,707H,9.213954611,ISEA4H,18,4469.671197,4460.457242,48409.80263
370,Manicured,NE,801B,10.68254664,ISEA4H,18,5214.619264,5203.936718,48714.38331
1047,PavedTrails,NE,707H,10.81416855,ISEA4H,18,1489.889772,1479.075603,13677.20131
680,Stream/Rivers,NW,801B,11.02931107,ISEA4H,18,1489.890983,1478.861672,13408.46824
425,Roads/Raillines,NE,707A,12.75189982,ISEA4H,18,2234.838673,2222.086773,17425.53505
432,Roads/Raillines,NE,801B,13.38174755,ISEA4H,18,1489.891256,1476.509508,11033.75701
905,Manicured,NE,707D,13.61392809,ISEA4H,18,744.9451943,731.3312662,5371.934253
214,Building/Paved,NE,707C,13.62998966,ISEA4H,18,1489.891931,1476.261941,10830.98357
915,Manicured,NE,707H,16.20138404,ISEA4H,18,744.9451995,728.7438154,4498.034326
364,Manicured,NE,707A,20.12751277,ISEA4H,18,2979.783963,2959.65645,14704.53147
1072,Roads/Raillines,NE,707H,20.86234373,ISEA4H,18,2979.77834,2958.915996,14183.0469
973,Manicured,NE,707D,21.35836585,ISEA4H,18,744.9457033,723.5873375,3387.840355
219,Forest,NE,707A,21.99000766,ISEA4H,18,1489.892265,1467.902257,6675.314896
1102,Stream/Rivers,NE,707D,22.89419644,ISEA4H,18,2234.836421,2211.942224,9661.58489
256,Manicured,NE,707C,22.90050014,ISEA4H,18,1489.891473,1466.990973,6405.934211
392,Manicured,NE,707A,23.10810243,ISEA4H,18,1489.892388,1466.784286,6347.489113
794,Manicured,NE,707D,24.09390602,ISEA4H,18,2234.835958,2210.742052,9175.523679
419,Roads/Raillines,NE,707A,24.09843906,ISEA4H,18,744.9457597,720.8473206,2991.261462
411,PavedTrails,NE,801B,25.28414922,ISEA4H,18,744.945579,719.6614298,2846.294821
1043,PavedTrails,NE,707D,25.57250402,ISEA4H,18,2234.837239,2209.264735,8639.219426
505,Building/Paved,NW,801E,26.20362573,ISEA4H,18,1489.890577,1463.686951,5585.818413
1062,Roads/Raillines,NE,707H,26.36348447,ISEA4H,18,1489.889129,1463.525644,5551.336151
1066,Roads/Raillines,NE,707D,27.12991098,ISEA4H,18,744.9454309,717.8155199,2645.845467
1105,Stream/Rivers,NE,707H,27.17011622,ISEA4H,18,2979.780438,2952.610322,10867.12437
659,PavedTrails,NW,801E,27.51589789,ISEA4H,18,1489.89004,1462.374143,5314.651729
731,Building/Paved,NE,707G,27.54864562,ISEA4H,18,1489.890224,1462.341578,5308.215867
1082,Shrubland,NE,707H,27.59181311,ISEA4H,18,1489.888902,1462.297089,5299.749905
686,Building/Paved,NE,707H,27.83090619,ISEA4H,18,2234.833284,2207.002378,7930.041383
1107,Stream/Rivers,NE,707H,28.97490698,ISEA4H,18,744.9443715,715.9694645,2470.998319
688,Building/Paved,NE,707H,29.69618585,ISEA4H,18,1489.889011,1460.192825,4917.105626
213,Building/Paved,NE,707C,29.80603861,ISEA4H,18,744.9461402,715.1401016,2399.312807
44,Building/Paved,NE,801G,29.95647153,ISEA4H,18,1489.889832,1459.93336,4873.515756
1042,PavedTrails,NE,707D,30.36792133,ISEA4H,18,2234.837182,2204.46926,7259.203671
533,Manicured,NW,801E,31.1325971,ISEA4H,18,744.9450952,713.8124981,2292.81385
708,Building/Paved,NE,707H,31.20544536,ISEA4H,18,2234.834241,2203.628795,7061.680324
783,Construction,NE,707H,31.80424865,ISEA4H,18,744.9450504,713.1408017,2242.281557
606,Manicured,NW,801E,32.28687517,ISEA4H,18,2234.835039,2202.548163,6821.806543
664,Roads/Raillines,NW,801E,32.70149127,ISEA4H,18,2234.834338,2202.132847,6734.044111
728,Building/Paved,NE,707I,32.79605741,ISEA4H,18,2979.779491,2946.983434,8985.785691
423,Roads/Raillines,NE,707A,33.40883388,ISEA4H,18,744.946207,711.5373731,2129.788114
665,Roads/Raillines,NW,801E,33.65079271,ISEA4H,18,1489.889634,1456.238842,4327.50234
380,Manicured,NE,707A,34.40557081,ISEA4H,18,1489.891801,1455.48623,4230.379545
