FID,JOIN_FID,FREQUENCY,SUM_resist,FIRST_shape_area
-1,0,2,186.236271129700015,190.508718238999990
-1,1,2,186.236246042299996,183.566894133999995
-1,2,22,2048.597821686300449,2112.167036389999794
-1,3,5,465.590428705699992,411.399840706000020
-1,4,4,372.472354707000022,346.678246523999974
-1,5,1,93.118129925600002,67.906734722300001
-1,6,4,372.472358615199994,399.196090672000025
-1,7,22,2048.598012675000064,2164.417408620000060
-1,9,34,3166.015188069999567,3284.466606030000094
-1,11,270,25141.877760499006399,22113.037554999998974
-1,12,204,18996.084730079994188,16626.646095500000229
-1,13,70,6518.265012218605079,6413.921721800000341
-1,14,257,23931.345158147694747,23584.502278399999341
-1,15,53,4935.258173837000868,4998.376326599999629
-1,16,65,6052.675020173699522,5951.469953200000418
-1,17,1,93.118083265699994,87.853508771500003
-1,18,128,11919.117866431697621,11959.970137599999362
-1,19,200,18623.621395855203446,17662.717666900000040
-1,20,57,5307.730875448200095,5388.438274670000283
-1,21,121,11267.287918171994534,11090.921014999999898
-1,22,63,5866.439507209699514,6026.203449839999848
-1,23,8,744.944709973200020,535.054651913000043
-1,24,60,5587.085304272000940,5152.929833719999806
-1,25,131,12198.469075667504512,12314.101559299999280
-1,26,34,3166.015058663900163,3230.792373899999802
-1,27,120,11174.170393450198389,11156.227306700000554
-1,28,1,93.118131260799998,65.352888929200006
-1,29,19,1769.243769186100280,1753.517066370000066
-1,30,140,13036.532419428696812,13174.264426300000196
-1,32,75,6983.856930842299334,7161.947065999999722
-1,33,1,93.118099728800004,85.952525150400007
-1,34,2,186.236236299700010,154.261726822000014
-1,35,59,5493.967704078800125,5627.274644109999826
-1,36,51,4749.023002681400612,4466.302933799999664
-1,37,3,279.354369581299977,307.549394622000023
-1,38,65,6052.676430339201943,6054.631661919999715
-1,39,151,14060.833420604598359,13923.268038700000034
-1,40,65,6052.676999890200022,6036.888442229999782
-1,41,137,12757.180356810897138,12885.953149000000849
-1,42,5,465.590547224499915,425.723515093999993
-1,43,42,3910.960615973999666,3873.115976579999824
-1,45,5,465.590592568499972,388.624281811000003
-1,46,10,931.181199432199946,945.857910081999989
-1,47,51,4749.024032987697865,4588.174207080000087
-1,48,77,7170.094806010700268,7204.132052390000354
-1,49,273,25421.244196581403230,25678.735439200001565
-1,50,2,186.236244107400012,182.384825140999993
-1,51,3,279.354369836999979,220.731005578999998
-1,52,7,651.826891634599974,578.790188996999973
-1,53,17,1583.008150242799957,1585.744777679999970
-1,54,132,12291.592097605798699,12551.755525500000658
-1,58,110,10242.993330699300714,10054.142978100000619
-1,59,21,1955.480678276899880,2008.415523639999947
-1,60,71,6611.386989195400020,6300.718036850000317
-1,61,26,2421.071335341500344,2305.032525529999930
-1,62,142,13222.773746315297103,13075.791009299999132
-1,63,2,186.236265337600003,194.346361868999992
-1,64,45,4190.315853345000505,4356.376980320000257
-1,65,117,10894.820733359398218,10757.032646199999363
-1,66,55,5121.497010274101740,5125.463401150000209
-1,67,1,93.118134769099996,214.564847770000000
-1,68,1,93.118134403599996,171.559595174999998
-1,69,2,186.236269868100010,138.375868606000012
-1,70,3,279.354404004000003,329.419262789000015
-1,71,4,372.472535764700012,354.312012657000025
-1,72,6,558.708803176300080,590.969832308000036
-1,74,56,5214.615275062197725,4943.817666979999558
-1,75,23,2141.717101073400045,2110.607132099999944
-1,76,8,744.945098010500033,757.087964396999951
-1,77,43,4004.079846544201246,4259.657405629999630
-1,78,11,1024.299498812200000,1057.127551829999902
-1,79,113,10522.349042577903674,10484.595251900000221
-1,80,50,4655.906929583100464,4708.886869879999722
-1,82,2,186.236283344900016,177.820336650000002
-1,83,47,4376.554030788200180,4429.555162620000374
-1,84,44,4097.198293079401992,3853.716836070000227
-1,85,70,6518.270197633299176,6672.148435690000042
-1,86,3,279.354445829899987,243.487858299000010
-1,87,30,2793.544144193100237,3297.829464209999969
-1,88,22,2048.599234931400133,2028.528614800000014
-1,89,13,1210.535938782599942,1387.110761019999927
-1,90,120,11174.177415387603105,11228.713425399999323
-1,91,51,4749.025680057500722,4832.535161900000276
-1,92,128,11919.122748115803915,11727.392282000000705
-1,93,23,2141.717392198299876,2110.500129540000216
-1,94,6,558.708923382799981,625.371568120000006
-1,95,124,11546.650426708198211,11567.743165600000793
-1,96,1,93.118159244300003,102.852627495999997
-1,97,111,10336.116108882801200,10380.619395199999417
-1,98,134,12477.832067402208850,12237.814975100000083
-1,99,1,93.118158895999997,103.063854651000000
-1,100,4,372.472631446700007,307.567869375999976
-1,101,4,372.472625567099954,343.194549371999983
-1,102,2,186.236317466999992,165.923416037999999
-1,103,120,11174.178249567006787,11090.433802800000194
-1,104,2,186.236319378600001,171.025711174999998
-1,106,1,93.118173382400002,108.236096974999995
-1,107,101,9404.933578453699738,8994.513371090000874
