FID,JOIN_FID,FREQUENCY,SUM_resist
-1,719,205,458.7358886
-1,720,1149,2571.158718
-1,721,921,2060.955082
-1,722,1480,3311.849647
-1,723,336,751.8793727
-1,724,28,62.6566186
-1,725,1341,3000.804698
-1,726,5260,11770.4923
-1,727,6218,13914.24378
-1,728,11,24.61509594
-1,729,5054,11309.51901
-1,730,524,1172.573926
-1,731,13,29.09057724
-1,732,19,42.51699801
-1,733,4677,10465.89442
-1,734,33,73.84531681
-1,735,3825,8559.342849
-1,736,2333,5220.639832
-1,737,532,1190.476015
-1,738,2000,4475.473508
-1,739,5976,13372.71446
-1,740,60,134.2642267
-1,742,19,42.51700789
-1,743,42,93.98495674
-1,744,3625,8111.797439
-1,745,3259,7292.785578
-1,746,1595,3569.190901
-1,747,2197,4916.308739
-1,748,42,93.9849719
-1,749,39,87.27176344
-1,750,55,123.0755645
-1,751,2222,4972.253105
-1,752,2080,4654.494432
-1,753,1864,4171.142961
-1,754,810,1812.567653
-1,755,206,460.9739981
-1,756,1746,3907.090379
-1,757,6497,14538.58279
-1,758,27,60.4189334
-1,759,116,259.5776507
-1,760,129,288.6682494
-1,762,24,53.70570536
-1,763,31,69.36988095
-1,777,2482,5554.063019
-1,778,183,409.5059676
-1,780,1004,2246.688279
-1,785,47,105.1736223
-1,791,23,51.46793473
-1,792,81,181.2565527
-1,793,30,67.13206621
-1,794,11,24.61511096
-1,795,42,93.98499067
-1,796,41,91.74720056
-1,797,50,111.8868187
-1,799,215,481.1129943
-1,800,10,22.37735049
-1,801,47,105.1735602
-1,806,53,118.5999626
-1,807,23,51.46796531
-1,808,63,140.9772963
-1,809,25,55.94337314
-1,810,28,62.65657838
-1,811,287,642.2299205
-1,814,240,537.0563789
-1,816,59,132.0263688
-1,817,120,268.5282143
-1,818,33,73.84527425
-1,819,214,478.8753076
-1,820,133,297.6187718
-1,823,102,228.2489827
-1,827,86,192.4452269
-1,833,242,541.5320284
-1,836,117,261.8150738
-1,838,136,304.3320046
-1,843,95,212.5848833
-1,844,18,40.27924091
-1,846,217,485.588649
-1,847,46,102.9358455
-1,848,1908,4269.598841
-1,849,233,521.3924162
-1,850,76,170.0679119
-1,852,124,277.479239
-1,853,185,413.9811318
-1,854,906,2027.388618
-1,855,59,132.0264206
-1,856,167,373.7018949
-1,857,98,219.2981195
-1,858,231,516.9169875
-1,859,177,396.0792655
-1,860,387,866.0038006
-1,861,20,44.75472044
-1,862,132,295.3811663
-1,863,378,845.8642296
-1,864,34,76.08302774
-1,865,42,93.9849173
-1,866,40,89.50944782
-1,867,120,268.5283419
-1,868,28,62.65661267
-1,869,35,78.32076499
-1,870,237,530.3434764
-1,871,352,787.6831743
-1,872,45,100.6981357
-1,873,578,1293.411463
-1,874,51,114.1245555
-1,875,55,123.0755015
-1,876,62,138.7396579
-1,877,26,58.18115136
-1,878,197,440.8340902
-1,879,35,78.32078075
-1,880,25,55.94341579
-1,881,150,335.6604741
-1,882,230,514.6794132
-1,883,48,107.41136
-1,884,143,319.996366
-1,885,128,286.4302918
-1,886,304,680.271933
-1,887,119,266.2906572
-1,888,35,78.32078433
-1,889,681,1523.898708
-1,890,37,82.7962647
-1,891,149,333.4227741
-1,892,90,201.3963066
-1,893,24,53.70568261
-1,894,937,2096.759323
-1,895,129,288.6680388
-1,896,711,1591.030847
-1,897,41,91.74721113
-1,898,27,60.41889652
-1,899,130,290.9057969
-1,900,62,138.7396888
-1,901,530,1186.000546
-1,902,20,44.75473875
-1,903,127,284.1925679
-1,904,164,366.9888549
-1,905,6,13.42642173
-1,906,53,118.6000585
-1,907,142,317.7586099
-1,908,75,167.8302755
-1,909,196,438.5964392
-1,910,191,427.4077625
-1,911,18,40.27926648
-1,912,34,76.08305616
-1,913,239,534.8191404
-1,914,114,255.1020224
-1,915,6,13.42642213
-1,916,29,64.89437434
-1,917,75,167.8302792
-1,918,108,241.6756014
-1,919,96,214.8227761
-1,921,42,93.98495752
-1,922,46,102.935906
-1,923,1317,2947.099595
-1,924,118,264.0529498
-1,925,598,1338.166768
-1,926,67,149.9283912
-1,927,30,67.13212104
-1,928,75,167.8302975
-1,929,94,210.347427
-1,930,120,268.5284673
-1,931,785,1756.623814
-1,932,429,959.9892754
-1,933,31,69.3698598
-1,934,837,1872.986068
-1,935,461,1031.596907
-1,936,84,187.9699436
-1,937,47,105.1736663
-1,938,910,2036.341106
-1,939,165,369.2266987
-1,940,27,60.41891547
-1,941,20,44.75475294
-1,942,63,140.9774713
-1,943,512,1145.721645
-1,944,828,1852.846725
-1,945,40,89.50951166
-1,946,138,308.8078135
-1,947,40,89.50951368
-1,948,1906,4265.128128
-1,949,193,431.883426
-1,950,31,69.36987852
-1,951,186,416.2192739
-1,952,155,346.8494047
-1,953,404,904.0461699
-1,954,93,208.1096435
-1,955,59,132.0265495
-1,956,335,749.6422631
-1,957,490,1096.491714
-1,958,125,279.7172833
-1,959,37,82.79631731
-1,960,1408,3150.735452
-1,964,118,264.0531661
-1,965,51,114.1246773
-1,966,110,246.1511792
-1,968,187,418.4569438
-1,969,31,69.36986995
-1,970,561,1255.370961
-1,971,955,2137.039908
-1,972,107,239.438012
-1,973,9,20.13964635
-1,974,16,35.80381619
-1,975,89,199.1587274
-1,976,332,742.9289931
-1,977,249,557.196787
-1,978,58,129.7888155
-1,979,803,1796.903707
-1,980,75,167.8303691
-1,981,63,140.9775145
-1,982,334,747.4046123
-1,983,232,519.1553272
-1,984,28,62.65667903
-1,985,78,174.5436065
-1,986,311,695.9366515
-1,987,34,76.0831146
-1,988,113,252.8644415
-1,989,79,176.7813656
-1,990,32,71.60757135
-1,991,18,40.27925967
-1,992,25,55.94341645
-1,993,51,114.1245739
-1,1020,58,129.7887236
-1,1021,6,13.42641987
-1,1022,73,163.3547773
-1,1023,25,55.94342098
-1,1024,19,42.51700103
-1,1025,19,42.51700172
-1,1026,28,62.65663476
-1,1027,25,55.94342539
-1,1028,30,67.13211177
-1,1029,385,861.5288305
-1,1030,1325,2965.001602
-1,1031,75,167.8303046
-1,1032,56,125.3132969
-1,1033,82,183.4944722
-1,1034,82,183.4944801
-1,1035,336,751.8798153
-1,1039,34,76.08308189
-1,1040,23,51.46798057
-1,1041,37,82.79632224
-1,1042,15,33.56607829
-1,1043,12,26.85286351
-1,1052,54,120.8377807
-1,1053,148,331.185153
-1,1058,34,76.08302876
-1,1059,97,217.0604155
-1,1061,144,322.2341806
-1,1063,648,1450.053641
-1,1066,11,24.61511429
-1,1067,472,1056.212223
-1,1077,213,476.6380319
-1,1078,362,810.0609639
-1,1080,38,85.03402131
-1,1087,8,17.90189345
-1,1088,55,118.6000455
-1,1096,10,22.37736758
-1,1097,3,6.713212874
-1,1101,24,53.70570498
-1,1102,22,49.23023201
-1,1105,17,38.04152438
-1,1106,5,11.18868624
-1,1108,48,107.4114314
-1,1109,1523,3408.073227
-1,1110,12743,28515.46827
-1,1111,26837,60054.12513
-1,1112,7309,16355.62344
-1,1113,950,2125.850228
-1,1114,688,1539.562895
-1,1115,1903,4258.412176
-1,1116,8687,19439.23791
-1,1117,21651,48449.2346
-1,1118,3457,7735.851505
-1,1119,16477,36871.20469
-1,1120,3003,6719.925827
-1,1121,13000,29090.60227
-1,1123,23570,52743.47878
-1,1124,3470,7764.949743
-1,1125,30281,67760.89994
-1,1126,13822,30929.99361
-1,1127,12275,27468.23168
-1,1128,43805,98024.03235
-1,1129,992,2219.834896
-1,1130,60535,135461.4084
-1,1131,26647,59628.93248
-1,1132,3791,8483.258099
