FID,JOIN_FID,FREQUENCY,SUM_resist,FIRST_shape_area
-1,0,74,215.335674359195252,190.508718238999990
-1,1,64,186.236245853506375,183.566894133999995
-1,2,722,2100.976741196934199,2112.167036389999794
-1,3,140,407.391626281960669,411.399840706000020
-1,4,118,343.372951973373858,346.678246523999974
-1,5,20,58.198831519523566,67.906734722300001
-1,6,135,392.841939826247199,399.196090672000025
-1,7,744,2164.995626972076479,2164.417408620000060
-1,8,20,58.198831544016016,62.520381194099997
-1,9,1129,3285.322754675617489,3284.466606030000094
-1,10,33,96.028012861936432,94.335313048000003
-1,11,7691,22380.345301471545099,22113.037554999998974
-1,12,5791,16851.459479157565511,16626.646095500000229
-1,13,2203,6410.597228961037217,6413.921721800000341
-1,14,8105,23585.062299608332978,23584.502278399999341
-1,15,1714,4987.637096931191081,4998.376326599999629
-1,16,2049,5962.466884735423264,5951.469953200000418
-1,17,31,90.208143856401023,87.853508771500003
-1,18,4107,11951.127226915874417,11959.970137599999362
-1,19,6073,17672.070719933111832,17662.717666900000040
-1,20,1847,5374.659495952438192,5388.438274670000283
-1,21,3811,11089.781574739487041,11090.921014999999898
-1,22,2071,6026.486218730059591,6026.203449839999848
-1,23,182,529.609131337065833,535.054651913000043
-1,24,1771,5153.504204522355394,5152.929833719999806
-1,25,4227,12300.316982212740186,12314.101559299999280
-1,26,1108,3224.213861783960510,3230.792373899999802
-1,27,3840,11174.170388254966383,11156.227306700000554
-1,28,22,64.018714810724447,65.352888929200006
-1,29,607,1766.333832716285997,1753.517066370000066
-1,30,4530,13182.029422896705000,13174.264426300000196
-1,31,47,136.767243915686265,134.221817006000009
-1,32,2455,7143.903653778469561,7161.947065999999722
-1,33,28,81.478336233068802,85.952525150400007
-1,34,53,154.226883386571672,154.261726822000014
-1,35,1924,5598.725567380852226,5627.274644109999826
-1,36,1537,4472.578653646800376,4466.302933799999664
-1,37,102,296.814019478839100,307.549394622000023
-1,38,2087,6073.046006135700736,6054.631661919999715
-1,39,4788,13932.796030898765821,13923.268038700000034
-1,40,2073,6032.307411448185121,6036.888442229999782
-1,41,4424,12873.577976176777156,12885.953149000000849
-1,42,146,424.851376725119053,425.723515093999993
-1,43,1330,3870.221441341811897,3873.115976579999824
-1,44,10,29.099410776744371,29.956471529300000
-1,45,130,378.292354008190102,388.624281811000003
-1,46,321,934.091140961563042,945.857910081999989
