FID,Id,ORIG_FID,full_name,SUM_length,lat,lon
0,0,0,1 ST SE,668.663096325999959,51.049259790199997,-114.060300209999994
1,0,0,1 ST SE,668.663096325999959,51.049159904000000,-114.060307305999999
2,0,0,1 ST SE,668.663096325999959,51.049060017800002,-114.060314400999999
3,0,0,1 ST SE,668.663096325999959,51.048960131500003,-114.060321497000004
4,0,0,1 ST SE,668.663096325999959,51.048860245299998,-114.060328592000005
5,0,0,1 ST SE,668.663096325999959,51.048760358999999,-114.060335687999995
6,0,0,1 ST SE,668.663096325999959,51.048660472700000,-114.060342782000006
7,0,0,1 ST SE,668.663096325999959,51.048560586500003,-114.060349877999997
8,0,0,1 ST SE,668.663096325999959,51.048460700200003,-114.060356972999998
9,0,0,1 ST SE,668.663096325999959,51.048360813999999,-114.060364069000002
10,0,0,1 ST SE,668.663096325999959,51.048260929400001,-114.060371187000001
11,0,0,1 ST SE,668.663096325999959,51.048161045900002,-114.060378321000002
12,0,0,1 ST SE,668.663096325999959,51.048061162400003,-114.060385456000006
13,0,0,1 ST SE,668.663096325999959,51.047961278999999,-114.060392590000006
14,0,0,1 ST SE,668.663096325999959,51.047861395600002,-114.060399724999996
15,0,0,1 ST SE,668.663096325999959,51.047761512100003,-114.060406858999997
16,0,0,1 ST SE,668.663096325999959,51.047661628599997,-114.060413992999997
17,0,0,1 ST SE,668.663096325999959,51.047561745099998,-114.060421126999998
18,0,0,1 ST SE,668.663096325999959,51.047461861599999,-114.060428262000002
19,0,0,1 ST SE,668.663096325999959,51.047361978100000,-114.060435396000003
20,0,0,1 ST SE,668.663096325999959,51.047262094600001,-114.060442528999999
21,0,0,1 ST SE,668.663096325999959,51.047162211100002,-114.060449664000004
22,0,0,1 ST SE,668.663096325999959,51.047062327600003,-114.060456798000004
23,0,0,1 ST SE,668.663096325999959,51.046962444099997,-114.060463932000005
24,0,0,1 ST SE,668.663096325999959,51.046862559300003,-114.060471047999997
25,0,0,1 ST SE,668.663096325999959,51.046762671800003,-114.060478123999999
26,0,0,1 ST SE,668.663096325999959,51.046662784200002,-114.060485201000006
27,0,0,1 ST SE,668.663096325999959,51.046562896600001,-114.060492276999994
28,0,0,1 ST SE,668.663096325999959,51.046463009000000,-114.060499354000001
29,0,0,1 ST SE,668.663096325999959,51.046363131699998,-114.060506571999994
30,0,0,1 ST SE,668.663096325999959,51.046263244800002,-114.060513657000001
31,0,0,1 ST SE,668.663096325999959,51.046163353099999,-114.060520675000006
32,0,0,1 ST SE,668.663096325999959,51.046063461300001,-114.060527691999994
33,0,0,1 ST SE,668.663096325999959,51.045963569599998,-114.060534709999999
34,0,0,1 ST SE,668.663096325999959,51.045863688200001,-114.060541873000005
35,0,0,1 ST SE,668.663096325999959,51.045763808899999,-114.060549065999993
36,0,0,1 ST SE,668.663096325999959,51.045663929699998,-114.060556258999995
37,0,0,1 ST SE,668.663096325999959,51.045564050400003,-114.060563451999997
38,0,0,1 ST SE,668.663096325999959,51.045464171100001,-114.060570644999999
